,hotel_name,rating,room_description,price,location_descirption,long_description,Unnamed: 0_y,price_week_before
559,APTBCN Super Balmes Guest House,8.3,"Triple Room with Shared Bathroom
3 single beds",€ 904,"Eixample, BarcelonaShow on map300 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at APTBCN Super Balmes Guest House! To save at this property, all you have to do is sign in.
Super Balmes Guest House is located in Barcelona city center, 2 minutes' walk from Plaza Catalunya Square. Free Wi-Fi access is available.

The Guest House offers private rooms in shared apartments located in different building of the same central area.

They all come with a flat-screen TV and have a shared or private bathroom. Bed linen and towels are included. All apartments have a fully equipped kitchen for guests’ use and a shared lounge with sofas.

There are plenty of bars and restaurants within walking distances. Regular airport buses leave from a bus stop located within 10-minute walk.

The pictures at the top of this page are a selection of the different rooms and apartments located in the Barcelona City Center area. Please select a date and click on the room type to see the pictures of the individual apartments.",338.0,€ 711
560,Aspasios Sagrada Familia Apartments,8.9,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 3 living rooms • 1 bathroom • 1 kitchen • 60m²
3 beds (2 singles, 1 double)
Only 3 left at this price on our site","€ 2,604","Eixample, BarcelonaShow on map2.3 km from centreMetro access","Situated in Barcelona, Aspasios Sagrada Familia Apartments has well-equipped accommodation boasting free WiFi, 500 metres from Sagrada Familia.

Each unit offers a fully equipped kitchen, a flat-screen TV, a living room with a sofa, and a private bathroom. A dishwasher and oven are also provided, as well as a coffee machine and a kettle. There is a washing machine and bed linen and towels are provided.

La Pedrera is a 19-minute walk from the apartment, while Casa Batllo is 1.8 km away. Barcelona El Prat Airport is 15 km from the property.",686.0,"€ 1,848"
561,Sunny Rooftop Apartment,7.3,"Apartment
Entire apartment • 1 bathroom • 1 kitchen • 55m²
Free cancellation
Only 1 left at this price on our site","€ 2,135","Sant Martí, BarcelonaShow on map2 km from centreMetro accessBeach nearby","Located in Barcelona, 1.1 km from Nova Icaria Beach and 1.4 km from Bogatell Beach, Sunny Rooftop Apartment provides air-conditioned accommodation with a terrace and free WiFi. Guests staying at this apartment have access to a balcony. The property is non-smoking and is set 1.5 km from Somorrostro Beach.

The apartment features 1 bedroom, a TV with satellite channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Port Olimpic, Picasso Museum and Santa Maria del Mar. The nearest airport is Barcelona El Prat Airport, 15 km from Sunny Rooftop Apartment.",676.0,"€ 1,433"
562,Sunny Rooftop Apartment,7.3,"Apartment
Entire apartment • 1 bathroom • 1 kitchen • 55m²
Free cancellation
Only 1 left at this price on our site","€ 2,135","Sant Martí, BarcelonaShow on map2 km from centreMetro accessBeach nearby","Located in Barcelona, 1.1 km from Nova Icaria Beach and 1.4 km from Bogatell Beach, Sunny Rooftop Apartment provides air-conditioned accommodation with a terrace and free WiFi. Guests staying at this apartment have access to a balcony. The property is non-smoking and is set 1.5 km from Somorrostro Beach.

The apartment features 1 bedroom, a TV with satellite channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Port Olimpic, Picasso Museum and Santa Maria del Mar. The nearest airport is Barcelona El Prat Airport, 15 km from Sunny Rooftop Apartment.",677.0,"€ 1,433"
563,Nobu Hotel Barcelona,8.3,"Deluxe Room
1 extra-large double bed","€ 2,273","Sants-Montjuïc, BarcelonaShow on map2.4 km from centreMetro access","Get the celebrity treatment with world-class service at Nobu Hotel Barcelona
Situated in Barcelona, 400 metres from Sants Railway Station, Nobu Hotel Barcelona features accommodation with a seasonal outdoor swimming pool, private parking, a fitness centre and a terrace. Among the facilities of this property are a restaurant, room service and a 24-hour front desk, along with free WiFi throughout the property. The accommodation offers a concierge service, luggage storage space and currency exchange for guests.

At the hotel rooms have air conditioning and a safety deposit box.

Magic Fountain of Montjuic is 1.4 km from Nobu Hotel Barcelona, while Casa Batllo is 2.7 km from the property. The nearest airport is Barcelona El Prat Airport, 11 km from the accommodation.",959.0,"€ 2,073"
564,Seventy Barcelona,9.2,"Basic Double Room with Spa Access
Beds: 1 double or 2 singles","€ 2,319","Eixample, BarcelonaShow on map1.4 km from centreMetro access",,347.0,"€ 1,873"
566,H10 Casa Mimosa 4* Sup,9.2,"Deluxe Double Room with Garden View
Multiple bed types
Free cancellation
No prepayment needed – pay at the property","€ 2,851","Eixample, BarcelonaShow on map1.2 km from centreMetro access","Housed in a 19th- century modernist building, just behind La Pedrera, H10 Casa Mimosa offers an impressive chill-out terrace with a plunge pool and a sun lounger area with privileged views of Casa Milà’s terrace.

All rooms are outward-facing, with both views over Pau Claris Street or over the courtyard garden which has Gaudí’s chimneys in the background. All have smart temperature control and high-quality amenities including a Nespresso Coffee Machine and a digital safe box. Some rooms also have spacious terraces.

The on-site El Til•ler Restaurant serves a delicious breakfast with a buffet consisting of natural products and a selection of à la carte dishes. The Lobby Bar also offers light meals and is also an excellent meeting point for a drink.

The beautiful garden retains some former cabins which are located in a courtyard that is typical of the Eixample district; and has a large variety of Mediterranean greenery such as a century-old palm tree, an impressive lime tree and mimosas, which give the hotel’s name. In the garden there is also an elevated swimming pool and a sun lounger area.

From here, there is access to the Las Cocheras meeting room, a former garage with high-ceilings and a capacity up to 100 people.

Ideally located, H10 Casa Mimosa is 10 minutes’ walk from Casa Battló; Plaza Catalunya and Ramblas can be reached within 15 minutes’ walk. There is free high-speed WiFi available throughout.",144.0,"€ 2,399"
567,Hotel Inglés,7.7,"Double or Twin Room
Beds: 1 double or 2 singles","€ 1,328","Ciutat Vella, BarcelonaShow on map0.7 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hotel Inglés! To save at this property, all you have to do is sign in.
Hotel Inglés is located right next to the Ramblas and Boquería market, 5 minutes’ walk from Plaça Catalunya. It offers 24-hour reception and rooms with free Wi-Fi and satellite TV.

Air-conditioned rooms at the Inglés are simple and comfortable. They come with a private bathroom and some rooms have a private balcony.

A breakfast is served every morning in a restaurant located next to the hotel.

Staff at the hotel’s 24-hour reception can provide information about what to see and do in Barcelona. You can also hire a car and store your luggage at the front desk.

The Palau de la Música Catalana, a Modernist auditorium, is 10 minutes’ walk from the Hotel Inglés. The characterful streets of the Gothic Quarter are on the doorstep, and you can walk to the trendy Born area in around 5 minutes.",514.0,€ 960
570,Hotel Casa Fuster G.L Monumento,8.9,"Deluxe Double or Twin Room
Beds: 1 double or 2 singles","€ 2,273","Gràcia, BarcelonaShow on map1.6 km from centreMetro access","Get the celebrity treatment with world-class service at Hotel Casa Fuster G.L Monumento
You're eligible for a Genius discount at Hotel Casa Fuster G.L Monumento! To save at this property, all you have to do is sign in.
This iconic, Modernist building is located at the head of Barcelona’s chic Passeig de Gracia Avenue. It has a sauna and gym, and a roof terrace with a pool and excellent views.

The luxurious Casa Fuster is a monument in itself, built in 1908 by the Modernist architect, Lluis Domènech i Montaner, and has the status of Speciality Monument. His work, including the hotel, is a designated UNESCO World Heritage Site.

The elegant air-conditioned rooms at Casa Fuster G.L Monumento feature satellite TV and a minibar. There is a private bathroom with a hairdryer, bathrobe and slippers. Some rooms have a hydro-massage bath.

The Casa Fuster Hotel has a stylish restaurant, which serves Mediterranean cuisine. Room service is available, and there is a jazz bar and rooftop chill-out bar.

There is a concierge service and 24-hour front desk. You can hire a car from the tour desk, and parking is available nearby for an additional charge.",504.0,"€ 12,693"
571,Yurbban Passage Hotel & Spa,9.2,"Double Room
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site","€ 2,390","Ciutat Vella, BarcelonaShow on map0.5 km from centreMetro accessBeach nearby","Situated in Barcelona in the Catalonia Region, 400 metres from Portal de l'Angel, Yurbban Passage Hotel boasts an outdoor pool and spa centre. Guests can enjoy the on-site restaurant.

All rooms include a flat-screen TV. Certain rooms feature a seating area to relax in after a busy day. A terrace or balcony are featured in certain rooms. Each room includes a private bathroom. Extras include bathrobes and slippers. Yurbban Passage Hotel features free WiFi throughout the property.

Guests can enjoy an authentic Catalan breakfast each morning.

You will find a 24-hour front desk at the property.

The hotel also offers bike hire. Plaça Catalunya is 500 metres from Yurbban Passage Hotel, while La Seu, Cathedral of Barcelona is 500 metres from the property. Barcelona El Prat Airport is 13 km away.",320.0,"€ 2,399"
574,Urbany Hostel BCN GO!,7.0,"Double Room
1 double bed
Only 4 rooms left at this price on our site","€ 1,162","Eixample, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","Featuring a rooftop terrace with jacuzzi, a fully equipped kitchen and computers with internet access, Urbany Hostel BCN GO! is set in the heart of Barcelona, just 200 metres from Plaza Universitat Square.

Both shared dorms and private rooms are available, all with air conditioning, free Wi-Fi and bed linen. Each bed has a locker, a reading light, bedside table, a USB charger and 2 plugs. Laundry facilities and towels are available for an extra cost.

Urbany Bar serves drinks and food and there are also vending machines for snacks. A wide range of dining options and bars can be found in the surrounding area.

Staff can help with tourist information and also organize activities in the hostel and around Barcelona city. Luggage storage is available at the hostel.

Airport buses leave from Plaza Catalunya, which is a 10-minute walk from Urbany Hostel.",244.0,€ 805
575,Youth Hostel - Central and Basic Universitat,7.4,"Twin Room with Shared Bathroom
2 single beds
Only 6 rooms left at this price on our site",€ 897,"Ciutat Vella, BarcelonaShow on map0.6 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Youth Hostel - Central and Basic Universitat! To save at this property, all you have to do is sign in.
Set in the lively Ciutat Vella District, next to the MACBA Museum, it is 5 minutes’ walk from Plaça Universitat Square.

Decorated with bright colours, all the rooms come with single beds which can be joined together and some have a private bathroom with shower. Free toiletries are also provided.

Central & Basic Universitat is surrounded by a wide range of shops and supermarkets. You can find some of the trendiest restaurants and bars of the city in a 5-minute walk.

The Ramblas and Boquería Market are 800 metres away and you can walk to Plaça Catalunya Square in about 10 minutes’ walk. El Prat Barcelona Airport is 30 minutes by public transport. Regular buses leave from a bus stop located just 800 metres away.",324.0,€ 713
576,Lodging Corsega - Apartment 3 bedrooms next to Sagrada Familia,5.0,"Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 73m²
3 beds (1 single, 2 doubles)
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 2,760","Eixample, BarcelonaShow on map2.3 km from centreMetro accessBeach nearby","Situated in Barcelona, 500 metres from Sagrada Familia and 2 km from La Pedrera, Lodging Corsega - Apartment 3 bedrooms next to Sagrada Familia offers air conditioning. Among the facilities at this property are a lift and luggage storage space, along with free WiFi throughout the property. The property is non-smoking and is located 2.5 km from Casa Batllo.

The spacious apartment has 3 bedrooms, a flat-screen TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 2 bathrooms with a bidet. Towels and bed linen are available in the apartment.

Passeig de Gracia is 2.9 km from the apartment, while Passeig de Gracia Metro Station is 3 km from the property. The nearest airport is Barcelona El Prat Airport, 15 km from Lodging Corsega - Apartment 3 bedrooms next to Sagrada Familia.",820.0,"€ 1,911"
577,Lodging Corsega - Apartment 3 bedrooms next to Sagrada Familia,5.0,"Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 73m²
3 beds (1 single, 2 doubles)
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 2,760","Eixample, BarcelonaShow on map2.3 km from centreMetro accessBeach nearby","Situated in Barcelona, 500 metres from Sagrada Familia and 2 km from La Pedrera, Lodging Corsega - Apartment 3 bedrooms next to Sagrada Familia offers air conditioning. Among the facilities at this property are a lift and luggage storage space, along with free WiFi throughout the property. The property is non-smoking and is located 2.5 km from Casa Batllo.

The spacious apartment has 3 bedrooms, a flat-screen TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 2 bathrooms with a bidet. Towels and bed linen are available in the apartment.

Passeig de Gracia is 2.9 km from the apartment, while Passeig de Gracia Metro Station is 3 km from the property. The nearest airport is Barcelona El Prat Airport, 15 km from Lodging Corsega - Apartment 3 bedrooms next to Sagrada Familia.",820.0,"€ 1,911"
578,Autèntic Eixample Barcelona,7.1,"Three-Bedroom Apartment - Muntaner 32
Entire apartment • 3 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 90m²
5 beds (2 singles, 2 doubles, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 2,802","Eixample, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","Located in central Barcelona, just 400 metres from Universitat Metro Station, Autèntic Eixample Barcelona apartments offer free WiFi and air conditioning and some have a private terrace.

Featuring wooden floors, the apartments come with 1 or 3 bedrooms and 1 bathroom. The living area has a flat-screen TV, sofa and radio and the kitchens are equipped with an oven, microwave and dishwasher.

You will find many bars and restaurants in the surrounding streets. Plaza Catalunya, with direct buses to Barcelona El Prat Airport is 10 minutes’ walk away and Gaudi´s Sagrada Familia is 14 minutes’ metro ride away.",888.0,"€ 2,370"
