,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
21,Aenea's B&B,7.7,"Standard Double Room
1 double bed
Breakfast included
Free cancellation
Only 1 room left at this price on our site",€ 725,"Central Station, RomeShow on map1.8 km from centreMetro access","Aenea's B&B is 500 metres from both Vittorio Emanuele and Rome's Termini Central Station, and offers air-conditioned rooms. A TV is found in each room.

Aenea's B&B classically furnished rooms all have a private bathroom with hairdryer and free toiletries. Some offer a four-poster bed.

Sweet and savoury ingredients and pre-packaged produce are left in the fridge found in the shared lounge. You can prepare your self-service breakfast every morning.

Termini Underground on line B has direct links to the world-famous Coliseum. It is only 2 metro stops away.",€ 725
22,Premuda18 Guest House,8.3,"Double Room
1 large double bed
Breakfast included
Free cancellation
Only 4 rooms left at this price on our site",€ 704,"Vaticano Prati, RomeShow on map3.1 km from centre","Offering city views, Premuda18 Guest House is an accommodation situated in Rome, 1.4 km from Lepanto Metro Station and 2.2 km from Castel Sant'Angelo. It is located 1.1 km from Vatican Museums and provides a lift. Free WiFi is available throughout the property and Ottaviano Metro Station is less than 1 km away.

At the bed and breakfast, all units come with a desk, a flat-screen TV, a private bathroom, bed linen and towels. Every unit comes with a kettle, while selected rooms are fitted with a fully equipped kitchen with a dishwasher, an oven and a microwave. The units at the bed and breakfast include air conditioning and a wardrobe.

An Italian breakfast is available daily at the bed and breakfast.

Popular points of interest near Premuda18 Guest House include St Peter's Square, The Vatican and St. Peter's Basilica. The nearest airport is Fiumicino Airport, 28 km from the accommodation.",€ 704
24,"Cardo Roma, Autograph Collection",,"Arc King Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","€ 2,074","Ostiense, RomeShow on map6 km from centre","Situated in Rome, 3 km from EUR Fermi Metro Station, Cardo Roma, Autograph Collection features accommodation with a fitness centre, private parking, a garden and a restaurant. This 4-star hotel offers room service and a 24-hour front desk. Guests can have a drink at the snack bar.

The rooms in the hotel are equipped with a kettle. Complete with a private bathroom fitted with a shower and free toiletries, all rooms at Cardo Roma, Autograph Collection have a flat-screen TV and air conditioning, and some rooms are fitted with a seating area. Guest rooms will provide guests with a wardrobe and a coffee machine.

The daily breakfast offers buffet, American or gluten-free options.

There is an in-house bar and guests can also make use of the business area.

Basilica San Paolo Metro Station is 3.2 km from the accommodation, while PalaLottomatica Arena is 3.6 km from the property. The nearest airport is Rome Ciampino Airport, 18 km from Cardo Roma, Autograph Collection.","€ 2,116"
25,"Corte Trastevere Verde, Comfort&Business, 4 ospiti",,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,075","Gianicolense, RomeShow on map2.7 km from centre","Located within the Gianicolense district in Rome, Corte Trastevere Verde, Comfort&Business, 4 ospiti has air conditioning, a balcony, and quiet street views. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The apartment has a picnic area and a fitness room.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bidet. Towels and bed linen are provided in the apartment. The property has an outdoor dining area.

There is a snack bar, and packed lunches are also available.

For guests with children, the apartment provides both an indoor and outdoor play area. If you would like to discover the area, cycling is possible in the surroundings.

Roma Trastevere Train Station is 400 metres from Corte Trastevere Verde, Comfort&Business, 4 ospiti, while Campo de' Fiori is 2.8 km away. The nearest airport is Fiumicino Airport, 21 km from the accommodation.","€ 1,075"
26,"Corte Trastevere Verde, Comfort&Business, 4 ospiti",,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,075","Gianicolense, RomeShow on map2.7 km from centre","Located within the Gianicolense district in Rome, Corte Trastevere Verde, Comfort&Business, 4 ospiti has air conditioning, a balcony, and quiet street views. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The apartment has a picnic area and a fitness room.

The apartment with a terrace and city views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a bidet. Towels and bed linen are provided in the apartment. The property has an outdoor dining area.

There is a snack bar, and packed lunches are also available.

For guests with children, the apartment provides both an indoor and outdoor play area. If you would like to discover the area, cycling is possible in the surroundings.

Roma Trastevere Train Station is 400 metres from Corte Trastevere Verde, Comfort&Business, 4 ospiti, while Campo de' Fiori is 2.8 km away. The nearest airport is Fiumicino Airport, 21 km from the accommodation.","€ 1,075"
27,"Cardo Roma, Autograph Collection",,"Arc King Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site","€ 2,074","Ostiense, RomeShow on map6 km from centre","Situated in Rome, 3 km from EUR Fermi Metro Station, Cardo Roma, Autograph Collection features accommodation with a fitness centre, private parking, a garden and a restaurant. This 4-star hotel offers room service and a 24-hour front desk. Guests can have a drink at the snack bar.

The rooms in the hotel are equipped with a kettle. Complete with a private bathroom fitted with a shower and free toiletries, all rooms at Cardo Roma, Autograph Collection have a flat-screen TV and air conditioning, and some rooms are fitted with a seating area. Guest rooms will provide guests with a wardrobe and a coffee machine.

The daily breakfast offers buffet, American or gluten-free options.

There is an in-house bar and guests can also make use of the business area.

Basilica San Paolo Metro Station is 3.2 km from the accommodation, while PalaLottomatica Arena is 3.6 km from the property. The nearest airport is Rome Ciampino Airport, 18 km from Cardo Roma, Autograph Collection.","€ 2,116"
28,Sonder Piazza San Pietro,8.2,"Superior Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 37m²
2 beds (1 single, 1 sofa bed)
Only 1 left at this price on our site","€ 1,777","Vaticano Prati, RomeShow on map2.2 km from centre","You're eligible for a Genius discount at Sonder Piazza San Pietro! To save at this property, all you have to do is sign in.
Sonder Piazza San Pietro features accommodation within 2.1 km of the centre of Rome, with free WiFi, and a kitchen with a microwave, a toaster and a fridge. It is situated 700 metres from St. Peter's Basilica and provides a lift. Piazza Navona is 1.9 km away and Campo de' Fiori is 2 km from the aparthotel.

All units are fitted with air conditioning, a flat-screen TV with cable channels, a stovetop, a coffee machine, a a bath or shower, a hair dryer and a wardrobe. Units have a kettle and a private bathroom, while some rooms also boast a terrace. At the aparthotel, each unit includes bed linen and towels.

Popular points of interest near the aparthotel include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino Airport, 17 km from Sonder Piazza San Pietro.","€ 1,693"
29,ElevenG,9.7,"Studio
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 beds (1 single, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 936,"Villa Borghese Parioli, RomeShow on map2.2 km from centreMetro access","A recently renovated apartment in Rome and within less than 1 km of Lepanto Metro Station, ElevenG features a terrace, comfortable allergy-free rooms and free WiFi. There is a private entrance at the apartment for the convenience of those who stay. Private parking can be arranged at an extra charge.

At the apartment complex, every unit includes air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area, a safety deposit box and a private bathroom with a bidet, a hair dryer and free toiletries. A microwave, a toaster and fridge are also provided, as well as a coffee machine and a kettle. At the apartment complex, every unit is fitted with bed linen and towels.

Popular points of interest near the apartment include Piazza del Popolo, Ottaviano Metro Station and Villa Borghese. The nearest airport is Rome Ciampino Airport, 17 km from ElevenG.","€ 1,036"
30,Vatican Home with Balcony,10,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 45m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,069","Trionfale, RomeShow on map2.8 km from centreMetro access","Vatican Home with Balcony has air-conditioned guest accommodation in Rome, 500 metres from Ottaviano Metro Station, 600 metres from Vatican Museums and 1.1 km from Lepanto Metro Station. Among the facilities at this property are a lift and private check-in and check-out, along with free WiFi throughout the property. Guests can enjoy city views.

Each unit is fitted with a balcony, a fully equipped kitchenette with an oven, a seating area, a flat-screen TV, a washing machine, and a private bathroom with bidet and a hair dryer. A toaster, a fridge and stovetop are also offered, as well as a kettle. At the apartment complex, units are equipped with bed linen and towels.

Dining options are available close to the apartment.

Popular points of interest near Vatican Home with Balcony include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino, 18 km from the accommodation, and the property offers a paid airport shuttle service.","€ 1,069"
31,Domus Lucilla,7.5,"Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 2 left at this price on our site",€ 811,"Vaticano Prati, RomeShow on map2.7 km from centreMetro access","You're eligible for a Genius discount at Domus Lucilla! To save at this property, all you have to do is sign in.
Domus Lucilla offers self-catering accommodation located in Roma. Free Wi-Fi access is available.

The apartment will provide you with a flat-screen TV and air conditioning. There is a kitchen with a microwave and oven. Featuring a shower, the private bathroom comes with a hairdryer and bidet.

Ottaviano Metro is 200 metres from the property. The Vatican Museums are a 5-minute walk away.",€ 811
35,"[Centocelle, Metro C] Luminoso quadrilocale",,"Two-Bedroom Apartment
3 beds (2 singles, 1 double)
Free cancellation",€ 951,RomeShow on map7.1 km from centreMetro access,"Located 5.9 km from Porta Maggiore, 5.9 km from Rebibbia Metro Station and 6.3 km from Ponte Lungo Metro Station, [Centocelle, Metro C] Luminoso quadrilocale provides accommodation set in Rome. The property is situated 6.4 km from Anagnina Metro Station, 6.5 km from Vittorio Emanuele Metro Station and 6.6 km from San Giovanni Metro Station. Roma Tiburtina Train Station is 7.3 km from the apartment and Bologna Metro Station is 7.5 km away.

The accommodation is non-smoking.

Sapienza University of Rome is 7.1 km from the apartment, while Tiburtina Metro Station is 7.3 km away. The nearest airport is Rome Ciampino Airport, 13 km from [Centocelle, Metro C] Luminoso quadrilocale.",€ 951
36,Casa Alessandra Colosseo,8.9,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom
1 extra-large double bed
Free cancellation
Only 1 left at this price on our site",€ 883,"Central Station, RomeShow on map2.1 km from centreMetro access","Located in Rome, near Vittorio Emanuele Metro Station, San Giovanni Metro Station and Porta Maggiore, Casa Alessandra Colosseo features free WiFi, and guests can enjoy a terrace. This property is set a short distance from attractions such as Domus Aurea, Colosseo Metro Station, and Palatine Hill. The property is non-smoking and is situated 1.3 km from Santa Maria Maggiore.

The apartment also offers 1 bathroom.

Popular points of interest near the apartment include Coliseum, Cavour Metro Station and Rome Termini Train Station. The nearest airport is Rome Ciampino Airport, 13 km from Casa Alessandra Colosseo.",€ 883
37,Risorgimento 55,9.5,"Double Room with Private Bathroom
1 large double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 990,"Vaticano Prati, RomeShow on map2.3 km from centreMetro access","You're eligible for a Genius discount at Risorgimento 55! To save at this property, all you have to do is sign in.
Providing city views, Risorgimento 55 is located in the Vaticano Prati district of Rome, 500 metres from Ottaviano Metro Station and 600 metres from Vatican Museums. Among the facilities at this property are a lift and a housekeeping service, along with free WiFi throughout the property. The property is 1.1 km from Castel Sant'Angelo, and within 2.1 km of the city centre.

The guest house will provide guests with air-conditioned units with a wardrobe, a coffee machine, a fridge, a minibar, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. Guests can have chocolates or cookies delivered to their room. At the guest house, every unit has bed linen and towels.

There is a snack bar on-site.

Popular points of interest near the guest house include Lepanto Metro Station, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino Airport, 18 km from Risorgimento 55.",€ 990
38,Gialli Vatican Guesthouse,8.8,"Double Room with Private Bathroom
1 double bed
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site",€ 967,"Vaticano Prati, RomeShow on map2.6 km from centreMetro access","You're eligible for a Genius discount at Gialli Vatican Guesthouse! To save at this property, all you have to do is sign in.
Offering inner courtyard views, Gialli Vatican Guesthouse is set in the Vaticano Prati district of Rome, less than 1 km from Lepanto Metro Station and a 7-minute walk from Vatican Museums. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The property is 90 metres from Ottaviano Metro Station, and within 2.3 km of the city centre.

The guest house will provide guests with air-conditioned units offering a desk, a safety deposit box, a flat-screen TV and a private bathroom with a shower. Guests can have fruits and chocolates or cookies delivered to their room. At the guest house, the units include bed linen and towels.

There is a coffee shop, and a minimarket is also available.

Popular points of interest near the guest house include Castel Sant'Angelo, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino, 18 km from Gialli Vatican Guesthouse, and the property offers a paid airport shuttle service.",€ 967
39,Tolemaide Orange Apartment,,"Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 60m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 875,"Trionfale, RomeShow on map2.8 km from centreMetro access","Tolemaide Orange Apartment is situated in the Vaticano Prati district of Rome, 1.2 km from Lepanto Metro Station, 1.8 km from Castel Sant'Angelo and 1.1 km from St Peter's Square. It is set 400 metres from Vatican Museums and offers a lift. Free WiFi is available throughout the property and Ottaviano Metro Station is 500 metres away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchenette with a dishwasher and a coffee machine, and 1 bathroom with a bidet and slippers. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

The Vatican is 1.1 km from the apartment, while St. Peter's Basilica is 1.3 km from the property. The nearest airport is Rome Ciampino Airport, 19 km from Tolemaide Orange Apartment.",€ 875
42,Folia,9.7,"Double Room with Private External Bathroom
1 large double bed
Breakfast included
Only 1 room left at this price on our site",€ 830,"Vaticano Prati, RomeShow on map2.4 km from centreMetro access","Ideally located in Rome, Folia offers an Italian breakfast and free WiFi. This sustainable guest house is located 300 metres from Ottaviano Metro Station and 1 km from Lepanto Metro Station. The accommodation features a lift and a shared kitchen for guests.

All units come with air conditioning, a microwave, a toaster, a coffee machine, a bidet, a hair dryer and a desk. At the guest house, all units are allergy-free. At the guest house, units are equipped with a wardrobe, a flat-screen TV and a private bathroom.

Guests at the guest house can make the most of yoga classes offered in-house.

Popular points of interest near Folia include Vatican Museums, Castel Sant'Angelo and St Peter's Square. The nearest airport is Rome Ciampino, 18 km from the accommodation, and the property offers a paid airport shuttle service.",€ 863
44,Quartopiano Guesthouse,9.4,"Double Room
1 large double bed
Only 1 room left at this price on our site",€ 785,"Trionfale, RomeShow on map3.1 km from centreMetro access","You're eligible for a Genius discount at Quartopiano Guesthouse! To save at this property, all you have to do is sign in.
Featuring free WiFi in all areas, Quartopiano Guesthouse is located in Rome, 400 metres from the Vatican City. It offers rooms with air conditioning.

All the rooms come with a flat-screen TV, minibar, an electric kettle, and parquet floors. The private bathroom is complete with a hairdryer and free toiletries.

Quartopiano is 180 metres from Cipro Metro stop. Castel Sant’Angelo is 1.5 km away.",€ 785
45,B&B St. Peter's Suites,8.1,"Double Room
1 extra-large double bed
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site",€ 792,"Vaticano Prati, RomeShow on map2.7 km from centre","Offering views of the Gianicolo Hill, B&B St. Peter's Suites is located in the Villa Pamphili area, a 15-minute walk from Saint Peter’s Cathedral. It offers modern rooms with free Wi-Fi.

Featuring a balcony, all elegant, air-conditioned rooms come with a flat-screen TV and wooden floors. Featuring a bath tub or shower, the private bathroom also comes with a hairdryer.

From the bed and breakfast St. Peter's Suites, guests can visit the Gianicolo hill, 2 km away. Roma San Pietro Train Station is a 13-minute walk away. A bus, with links to the Colosseum, stops 150 metres from the property.",€ 792
47,Casa di Alessandro,9.4,"Loft
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 35m²
2 beds (1 single, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 817,"Vaticano Prati, RomeShow on map3.2 km from centre","Ideally set in the heart of Rome, Casa di Alessandro is a recently renovated apartment, offering free WiFi and private parking. There is a private entrance at the apartment for the convenience of those who stay. The apartment has family rooms.

At the apartment complex, units are equipped with air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area and a private bathroom with a hair dryer, a bidet and free toiletries. An oven, a microwave and fridge are also offered, as well as a coffee machine and a kettle. At the apartment complex, all units have bed linen and towels.

Popular points of interest near the apartment include Ottaviano Metro Station, Vatican Museums and Lepanto Metro Station. The nearest airport is Rome Ciampino, 19 km from Casa di Alessandro, and the property offers a paid airport shuttle service.",€ 825
48,Super appartamento nel cuore del Pigneto,,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
4 beds (2 doubles, 2 sofa beds)
Free cancellation
Only 1 left at this price on our site",€ 854,"Prenestino Labicano, RomeShow on map3.6 km from centreMetro access","A recently renovated property, Super appartamento nel cuore del Pigneto is set in Rome near San Giovanni Metro Station, Ponte Lungo Metro Station and Vittorio Emanuele Metro Station. The property features quiet street views and is 2.7 km from Sapienza University of Rome and 3.2 km from Santa Maria Maggiore. Free WiFi is available throughout the property and Porta Maggiore is less than 1 km away.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a bidet and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Rome Termini Train Station is 3.4 km from the apartment, while Rome Termini Metro Station is 3.6 km away. The nearest airport is Rome Ciampino, 12 km from Super appartamento nel cuore del Pigneto, and the property offers a paid airport shuttle service.",€ 854
50,LILIUM HOUSE Apts,8.9,"Standard Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 sofa bed, 1 large double)
Only 1 left at this price on our site",€ 987,"Aventino, RomeShow on map2.1 km from centreMetro access","You're eligible for a Genius discount at LILIUM HOUSE Apts! To save at this property, all you have to do is sign in.
Offering garden views, LILIUM HOUSE Apts is an accommodation set in Rome, 2.1 km from Domus Aurea and 2.2 km from Roman Forum. There is a private entrance at the apartment for the convenience of those who stay. The apartment offers rooms with air conditioning, free private parking and free WiFi.

Each unit comes with a fully equipped kitchen with a microwave, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also featured, as well as a coffee machine and a kettle. At the apartment complex, the units are equipped with bed linen and towels.

A minimarket is available at the apartment.

Coliseum is 2.3 km from the apartment, while Palatine Hill is 2 km away. The nearest airport is Rome Ciampino Airport, 14 km from LILIUM HOUSE Apts.","€ 1,082"
51,LILIUM HOUSE Apts,8.9,"Standard Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 sofa bed, 1 large double)
Only 1 left at this price on our site",€ 987,"Aventino, RomeShow on map2.1 km from centreMetro access","You're eligible for a Genius discount at LILIUM HOUSE Apts! To save at this property, all you have to do is sign in.
Offering garden views, LILIUM HOUSE Apts is an accommodation set in Rome, 2.1 km from Domus Aurea and 2.2 km from Roman Forum. There is a private entrance at the apartment for the convenience of those who stay. The apartment offers rooms with air conditioning, free private parking and free WiFi.

Each unit comes with a fully equipped kitchen with a microwave, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also featured, as well as a coffee machine and a kettle. At the apartment complex, the units are equipped with bed linen and towels.

A minimarket is available at the apartment.

Coliseum is 2.3 km from the apartment, while Palatine Hill is 2 km away. The nearest airport is Rome Ciampino Airport, 14 km from LILIUM HOUSE Apts.","€ 1,082"
